"%s days","%s días"
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"Account Information","Información de cuenta"
"Price Proposal","Propuesta de precio"
"Price_proposal_%s","Propuesta de precios_%s"
"Print Quote","Imprimir presupuesto"
"Product","Producto"
"Product %s successfully added to Quote Request","El producto %s ha sido correctamente añadido a la solicitud de presupuesto"
"Product Information","Información de producto"
"Product Name","Nombre de producto"
"Product name","Nombre del producto"
"Proposal Valid Until: %s","Propuesta válida hasta: %s"
"Proposal valid until","Propuesta válida hasta"
"QTY","CANTIDAD"
"Qquote cancel email was't sent to admin for quote #%s","El correo electrónico para cancelar el presupuesto no ha sido enviado a administración para el presupuesto #%s"
"Qquote proposal email was't sent to the client for quote #%s","El correo electrónico con la propuesta no ha sido enviado al cliente para el presupuesto #%s"
"Qquote request email was't sent to admin for quote #%s","El correo electrónico con la solicitud de presupuesto no ha sido enviado a administración para el presupuesto #%s"
"Qty","Cantidad"
"Quotation #%s - Proposal","Solicitud de presupuesto #%s"
"Quotation #%s was rejected","El presupuesto #%s fue rechazado."
"Quotation Date: %s","Fecha de solicitud de presupuesto: %s"
"Quotations","Presupuestos"
"Quote","Presupuesto"
"Quote #","Presupuesto #"
"Quote # %s | Quote Date %s","Solicitud de presupuesto # %s | Fecha de solicitud de presupuesto %s"
"Quote Proposal","Propuesta de presupuesto"
"Quote Status","Estado del presupuesto"
"Quote item is not found.","No se encuentra el artículo del presupuesto."
"Quote list was updated successfully.","La lista de precios ha sido correctamente actualizada."
"Quote profit","Quote profit"
"Quote request","Solicitud de presupuesto"
"Quote subtotal (%s)","Quote subtotal (%s)"
"Quote view","Vista de presupuesto"
"Quote was successfully canceled","La solicitud de presupuesto ha sido correctamente cancelada"
"Quote was successfully saved","La solicitud de presupuesto ha sido correctamente guardada"
"RFQ From","RFQ From"
"Reject Proposal","Rechazar propuesta"
"Remark with Proposal","Comentarios sobre la propuesta"
"Remove","Eliminar"
"Remove item","Eliminar artículo"
"Request a shipping quote","Solicitar presupuesto de envío"
"Requested information","Comentarios sobre el producto"
"Request for Quote","Solicitud de presupuesto"
"Request information","Comentarios sobre el producto"
"Request quote","Enviar solicitud de presupuesto"
"Resubmit Quote","Reenviar presupuesto"
"SKU","SKU"
"STATUS_AUTO_PROPOSAL","Propuesta enviada"
"STATUS_BEGIN","Comienzo"
"STATUS_CANCELED","Propuesta cancelada"
"STATUS_CONFIRMED","Propuesta aceptada"
"STATUS_DENIED","Propuesta rechazada"
"STATUS_ORDERED","ConfigurePedido"
"STATUS_PROPOSAL","Propuesta enviada"
"STATUS_PROPOSAL_BEGIN","Proposal created, not sent"
"STATUS_PROPOSAL_EXPIRED","Propuesta vencida"
"STATUS_PROPOSAL_SAVED","Propuesta grabada"
"STATUS_REQUEST","Procesando"
"STATUS_REQUEST_EXPIRED","Solicitud vencida"
"Save Quote","Grabar presupuesto"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","Seleccione una cantidad por producto. (cuando se edite este producto podrá introducir rangos extra en esta pantalla.)"
"Shipping & Handling price per Item","Gastos de envío y manipulación por artículo"
"Shipping & Handling price varies.","Gastos variables de envío y manipulación."
"Shipping Address","Dirección de envío"
"Shipping Method","Método de envío"
"Shipping details","Detalles de envío"
"Sku","SKU"
"State/Province","Estado/Provincia"
"Status","Estado"
"Submit Quote","Enviar el presupuesto"
"Subtotal","Subtotal"
"Subtotal Original (%s)","Subtotal Original (%s)"
"Tax","Impuesto"
"Telephone","Teléfono"
"Thank you for your interest!","¡Gracias por su interés!"
"The Cart2Quote template files are disabled.","Los ficheros de plantilla Cart2Quote están deshabilitados."
"The following item will not be added to the quotation list if you continue:","El/los siguiente(s) artículo(s) no serán añadidos a la lista de precios si continúa:"
"This item will be removed from the list if you continue:","Si usted continúa, el/los siguiente(s) artículo(s) serán eliminados de la lista:"
"This order list contains items that cannot quoted.","La lista de pedido contiene artículos que no pueden ser presupuestados."
"This quote list contains items that cannot ordered.","Esta lista de precios contiene artículos que no pueden ser solicitados."
"Tier/Qty","Rango/Cantidad"
"Title","Título"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Para añadir un artículo a la solicitud de presupuesto <a href='%s'>salga</a> del modo de confirmación de presupuesto."
"Unable to find item to save","Imposible encontrar artículo para ser grabado"
"Unit price","Precio unitario"
"Url","Url"
"View","Vista"
"View Quote","Ver presupuesto"
"You're welcome to place a new Request for Quote","Si quiere puede realizar una nueva solicitud de presupuesto"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Usted está en el modo de confirmación de presupueto, <a href='%s'>desconectarse</a>."
"You have placed no quotes.","Todavía no ha cursado ninguna solicitud de presupuesto."
"You log out successfully from Quote confirmation mode.","Usted se ha desconectado correctamente del modo de confirmación de presupuesto."
"Your quote request # is: %s.","El código de su solicitud de presupuesto es: %s."
"Your quote request has been received","Su solicitud de presupuesto ha sido recibida"
"You will receive a quote confirmation email with a link to track progress.","Recibirá un mail de confirmación de presupuesto con un enlace para conocer el estado del mismo."
"Zip/Postal Code","Código postal"
"in process...","en proceso ..."
