"%s days","%s giorni"
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"Account Information","Informazioni Account"
"Edit Request","Modifica preventivo"
"Email","Email"
"Email Address","Indirizzo email"
"Email already exists","Indirizzo mail già esistente"
"First Name","Nome"
"Fixed Shipping & Handling price","Spedizione a prezzo fisso."
"Item %s wasn't moved to Shopping cart","Il prodotto %s non è stato spostato nel carrello"
"Item %s wasn't removed from Quote mode","Il prodotto %s non è stato rimosso dal preventivo"
"Item(s) were moved from Quote to Order mode successfully.","I prodotti sono stati spostati dal preventivo al carrello correttamente."
"Item Manager","Gestione Prodotto"
"Items Manager","Gestione Prodotti"
"Items Quoted","Elementi richiesti"
"Item was deleted successfully.","Prodotto cancellato correttamente."
"Item was moved to cart successfully.","Prodotto spostato in carrello correttamente."
"Item was moved to quote successfully.","Prodotto spostato in preventivo correttamente."
"Last Name","Cognome"
"Move to Shopping cart",""Muovi in carrello acquisti""
"My Quote","My Quote"
"My Quote (%s item)","My Quote (%s item)"
"My Quote (%s items)","My Quote (%s items)"
"My Quotes","I miei preventivi"
"No Items to display.","Nessun elemento da visualizzare"
"No item in quote.","Nessun elemento della lista del preventivo"
"Original Price","Prezzo originale"
"Please select required qty and check out online to see applicable price.","Si prega di selezionare la quantita' voluta e conferma per vedere I prezzi applicati."
"Please specify product quantity.","Prego specificare la quantità"
"Price","Prezzo"
"Price Proposal","Proposta di prezzo"
"Price_proposal_%s","Proposta_prezzo_%s"
"Print Quote","Stampa Preventivo"
"Product","Prodotto"
"Product %s successfully added to Quote Request","Il prodotto %s è stato correttamente aggiunto alla richiesta di preventivo"
"Product Information","Informazioni prodotto"
"Product Name","Nome prodotto"
"Product name","Nome prodotto"
"Proposal Valid Until: %s","Proposta valida fino: %s"
"Proposal valid until","Proposta valida fino"
"QTY","QTY"
"Qquote cancel email was't sent to admin for quote #%s","La mail di cancellazione preventivo non e' stata inviata all'admin #%s"
"Qquote proposal email was't sent to the client for quote #%s","La mail di richiesta preventivo non e' stata inviata al cliente #%s"
"Qquote request email was't sent to admin for quote #%s","La mail di richiesta preventivo non e' stata inviata all'admin #%s"
"Qty","Qta'"
"Quotation #%s - Proposal","Richiesta preventivo #%s"
"Quotation #%s was rejected","Preventivo #%s e' stato rifiutato."
"Quotation Date: %s","Data di richiesta preventivo: %s"
"Quotations","Preventivi"
"Quote","Richiedi per preventivo"
"Quote #","Preventivo #"
"Quote # %s | Quote Date %s","Richiesta preventivo # %s | Data richiesta preventivo %s"
"Quote Proposal","Richiesta di Preventivo"
"Quote Request in Process, wait for price proposal Shop owner","Richiesta di Preventivo in processo, aspetta il preventivo dal proprietario dello store"
"Quote Status","Stato richiesta preventivo"
"Quote item is not found.","Quote item is not found."
"Quote list was updated successfully.","La lista del preventivo e' stata aggiornata."
"Quote profit","Quote profit"
"Quote request","Richiesta preventivo"
"Quote subtotal (%s)","Quote subtotal (%s)"
"Quote view","Vedi preventivo"
"Quote was successfully canceled","Richiesta di preventivo correttamente cancellata"
"Quote was successfully saved","La richiesta di preventivo e' stata correttamente salvata"
"RFQ From","RFQ Da"
"Reject Proposal","Rifiuta proposta"
"Remark with Proposal","Commenti e richieste"
"Remove","Rimuovi"
"Remove item","Rimuovi elemento"
"Request a shipping quote",""Richiedi l'invio del preventivo""
"Requested information","Commenta"
"Request for Quote","Richiedi per preventivo"
"Request information","Commenti e richieste"
"Request quote","Conferma richiesta di preventivo"
"Resubmit Quote","Richiedi nuovamente preventivo"
"SKU","SKU"
"STATUS_BEGIN","Inizio"
"STATUS_CANCELED","Proposta cacellata"
"STATUS_CONFIRMED","Proposta confermata"
"STATUS_DENIED","Proposta negata"
"STATUS_PROPOSAL","Proposta inviata"
"STATUS_PROPOSAL_BEGIN","Proposal created, not sent"
"STATUS_PROPOSAL_EXPIRED","Proposta scaduta"
"STATUS_PROPOSAL_SAVED","Proposta salvata"
"STATUS_REQUEST","Processo"
"STATUS_REQUEST_EXPIRED","Preventivo scaduto"
"Save Quote","salva preventivo"
"Shipping & Handling price varies.","Spedizione a prezzo variabile."
"Shipping Address","Indirizzo di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping details","Dettagli spedizione"
"Sku","SKU"
"State/Province","Stato/Provincia"
"Status","Stato"
"Subtotal","Totale"
"Subtotal Original (%s)","Subtotal Original (%s)"
"Tax","Tax"
"Telephone","Telefono"
"Thank you for your interest!","Grazie per il tuo interesse!"
"The following item will not be added to the quotation list if you continue:","I seguenti prodotti non saranno aggiunti alla richiesta id preventivo se continui:"
"This item will be removed from the list if you continue:","I seguenti elementi saranno eliminati dal preventivo se continui:"
"This order list contains items that cannot quoted.","Il carrello contiene elementi che non possono essere preventivati."
"This quote list contains items that cannot ordered.",""Questo preventivo contiene elementi che non posso essere preventivati.""
"Tier/Qty","Tier/Qty"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Per aggiungere un prodotto al preventivo <a href='%s'>log out</a> dalla modalita' di conferma preventivo."
"Unable to find item to save","Impossibile trovare il prodotto da salvare"
"Unit price","Prezzo unitario"
"View","Vista"
"View Quote","Vedi preventivo"
"You're welcome to place a new Request for Quote","Sei il benvenuto per la richiesta di un nuovo preventivo"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Sei nella modalità di conferma preventivo, <a href='%s'>log out</a>."
"You have placed no quotes.","Non hai ancora richiesto un preventivo."
"You log out successfully from Quote confirmation mode.","Hai effettuato correttamente il logout dalla modalita' di conferma preventivo."
"Your quote request # is: %s.","Your quote request # is: %s."
"Your quote request has been received","La tua richiesta di preventivo e' stata ricevuta."
"You will receive a quote confirmation email with a link to track progress.","Riceverai una mail di conferma con un link per tracciare I progressi."
"Zip/Postal Code","Codice Postale"
"in process...","in process..."
