"Grand Total (Incl.Tax)",""
"Grand Total to be Charged",""
"Hold",""
"If the end user has no previous assigned sales representative the quote will be assigned to <strong>%s</strong>.",""
"In Process",""
"Incl. Tax",""
"Incl. default Tax",""
"Internal Comment",""
"Invalid data.",""
"Invalid draw line data. Please define "lines" array.",""
"Invalid request for adding product to quote.",""
"Item",""
"Item #%s was't updated",""
"Item %s is out of stock and cannot be ordered.",""
"Items maximum quantity or price do not allow checkout.",""
"Item(s) were moved to Quote mode successfully.",""
"Last Update",""
"Learn More",""
"Linked Orders",""
"Linked Quote Request",""
"Link to the New Order",""
"Link to the New Quote",""
"Link to the Previous Order",""
"Link to the Previous Quote",""
"Loading",""
"Loading...",""
"Logged in admin user",""
"Logged in admin user with rotate fallback",""
"Logged in admin user with rotation fallback",""
"Log out from quote confirmation mode",""
"Manage Customers",""
"Menu",""
"Module is disabled",""
"Move to Shopping Cart",""
"N/A",""
"Name",""
"New Products",""
"No",""
"No Coupon Code Applied",""
"No Coupon Codes Available",""
"No Follow Up date",""
"None",""
"No profit, increase Price(s)",""
"No quotes selected to export",""
"No thanks I will keep using this free version",""
"No thanks I will use the free version",""
"Not visible for customers",""
"OR",""
"Old status could not be determined",""
"Order # %s",""
"Order #%s",""
"Order Date",""
"Order Date (%s)",""
"Order Status",""
"Out of stock",""
"Placed from IP",""
"Please enter a valid email address.",""
"Please select items.",""
"Please select product(s).",""
"Please upgrade to Cart2Quote Starter or higher to use this feature",""
"Please wait...",""
"Print",""
"Print Quote",""
"Print Quote ",""
"Proceed to Checkout",""
"Product: ""%s"" could not be added to the cart",""
"Product image",""
"Profit is based on entered cost prices",""
"Proposal",""
"Proposal was not sent, no profit",""
"Purchase Order Number:",""
"Purchase a License*",""
"Purchased From",""
"Qquote reject email was't sent to admin for quote #%s",""
"Qty:",""
"Quick Overview",""
"Quotation #%s",""
"Quotation Management",""
"Quote # %s",""
"Quote Information",""
"Quote Reduction was not a valid decimal number",""
"Quote Totals",""
"Quote could not be saved.",""
"Quote is currently on hold",""
"Quote is succesfully unhold!",""
"Quote item does not exist.",""
"Quote request is converted from %d%% VAT to %d%% VAT.",""
"Quote will be assigned to <strong>%s</strong>",""
"Recalculate",""
"Recently added item(s)",""
"Remove Current Rate ?",""
"Remove This Item",""
"Reorder",""
"Reset Follow up",""
"Rotate admin role",""
"Rotation",""
"STATUS_ORDERED",""
"SUBSTATUS_CANCELLED_SUB100",""
"SUBSTATUS_PROPOSAL_SUB100",""
"SUBSTATUS_PROPOSAL_SUB200",""
"SUBSTATUS_PROPOSAL_SUB300",""
"SUBSTATUS_REJECTED_SUB100",""
"SUBSTATUS_SAVED_SUB100",""
"SUBSTATUS_SAVED_SUB200",""
"Search",""
"Sending proposal Email is disabled",""
"Set Follow Up date",""
"Shipping & Handling",""
"Shipping & Handling (Excl. Tax)",""
"Shipping & Handling (Excl.Tax)",""
"Shipping & Handling (Incl. Tax)",""
"Shipping & Handling (Incl.Tax)",""
"Shipping Estimate",""
"Shipping Information",""
"Shopping Cart",""
"Sign up for our newsletter",""
"Some of the products cannot be ordered in requested quantity.",""
"Submit Order",""
"Subtotal (Excl. Tax)",""
"Subtotal (Excl.Tax)",""
"Subtotal (Incl. Tax)",""
"Subtotal (Incl.Tax)",""
"Subtotal:",""
"Subtotal must exceed minimum order amount",""
"Surcharge",""
"Thanks for trying Cart2Quote!",""
"Thank you for your subscription.",""
"The %s you entered is invalid. Please make sure that it follows 'http://domain.com/' format.",""
"The CSV export function is only available in Cart2Quote Enterprise. To update please go to <a href='http://www.cart2quote.com/pricing-magento-quotation-module.html?utm_source=Customer%2Bwebsite&utm_medium=license%2Bpopup&utm_campaign=Upgrade%2Bversion'>http://www.cart2quote.com</a>",""
"The account has been saved.",""
"The address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract.",""
"The cart2quote export folder is not writable: ",""
"The maximum quantity allowed for purchase is %s.",""
"The maximum quantity allowed for quotation for %s is %s.",""
"The minimum quantity allowed for quotation for %s is %s.",""
"The product ""%s"" could not be added. (No user rights)",""
"There are <a href=""%s"">%s items</a> in your quote.",""
"There are no printable documents related to selected quotes",""
"There are no products matching the selection.",""
"There is <a href=""%s"">1 item</a> in your quote.",""
"There was an error, because the customer address was undefined",""
"There was an error, because the customer shipping address was undefined",""
"There was an error, because the product quantities were not defined",""
"There was a problem with the subscription.",""
"There was a problem with the subscription: %s",""
"This Quote has been created with another version of Cart2Quote. To experience <strong>the full power of Cart2Quote</strong>, create a new quote with this free version!<br /><br /> You are now using a Free Trial version of Cart2Quote, but you can simply <strong>unlock the back-end features and all quotes again</strong> by ordering a license.",""
"This function is only available in the enterprise edition. <a href='http://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>",""
"This product is currently disabled.",""
"This product is currently out of stock.",""
"This quote no longer exists.",""
"To:",""
"To change your currency <a href='%s'>log out</a> from Quote confirmation mode.",""
"To create an order, select product(s) and quantity",""
"To sent a proposal enable this product.",""
"Total %d product(s)",""
"Total of %d record(s) were deleted",""
"Total of %d record(s) were updated",""
"To update item in the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.",""
"Unhold",""
"Unsupported product type ""%s"".",""
"Update Quotation",""
"Update Quote",""
"Update Total",""
"Use Default",""
"Use Default Billing and Shipping Address",""
"Use Website",""
"Use alternative url",""
"User Telephone",""
"VAT Number",""
"View Details",""
"Visit customer dashboard for more options",""
"We offer the following delivery options. Multiple options can be selected.",""
"Wrong transactional account email type.",""
"Yes",""
"Yes and required",""
"Yes take me there",""
"You have been using the full version of Cart2Quote, we hope you had an awesome experience <strong>saving both time and money</strong> managing your quotations with Cart2Quote.<br /><br /> You are now using the free version of Cart2Quote, but you can simply <strong>unlock the back-end features</strong> again by ordering a license.",""
"You may request a quote without any obligations",""
"Your Trial has expired",""
"Your Trial has expired for this Quote",""
"Your quote request has been cancelled",""
"You will receive a quote cancellation confirmation email.",""
"incorrect first parameter for checkQtyIncrements should be product or product_id",""
"incorrect first parameter for checkQuantities should be product or product_id",""
"incorrect parameter for isInStock should be product or product_id",""
"item %s is out of stock.",""
"Product cannot be added to quote list",""
"the order confirmation email is not sent",""
"the order confirmation email was sent",""
