"This quote no longer exists.",""
"To change your currency <a href='%s'>log out</a> from Quote confirmation mode.",""
"To create an order, select product(s) and quantity",""
"To sent a proposal enable this product.",""
"To update item in the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.",""
"Update Quotation",""
"Update Quote",""
"Use Default Billing and Shipping Address",""
"Use Store Settings",""
"Use alternative url",""
"User Telephone",""
"Visit customer dashboard for more options",""
"We offer the following delivery options. Multiple options can be selected.",""
"Wrong transactional account email type.",""
"Yes and required",""
"Yes take me there",""
"You have been using the full version of Cart2Quote, we hope you had an awesome experience <strong>saving both time and money</strong> managing your quotations with Cart2Quote.<br /><br /> You are now using the free version of Cart2Quote, but you can simply <strong>unlock the back-end features</strong> again by ordering a license.",""
"You have no items in your quote.",""
"You may request a quote without any obligations",""
"Your Trial has expired",""
"Your Trial has expired for this Quote",""
"Your quote request has been cancelled",""
"You will receive a quote cancellation confirmation email.",""
"incorrect first parameter for checkQtyIncrements should be product or product_id",""
"incorrect first parameter for checkQuantities should be product or product_id",""
"incorrect parameter for isInStock should be product or product_id",""
"item %s is out of stock.",""
"Product cannot be added to quote list",""
