"%s days","%s日"
"%s is available for quotation in increments of %s only.","%s は見積内で %s 点ずつしかご利用いただけません。"
"-- Remove Coupon --","-- クーポンを削除 --"
"-- Select Coupon --","-- クーポンを選択 --"
"Account Information","アカウント情報"
"Proposal valid until","見積期限"
"QTY","個数"
"Qquote cancel email was't sent to admin for quote #%s","見積 #%s の見積キャンセルメールは管理者に送信されていません。"
"Qquote proposal email was't sent to the client for quote #%s","見積依頼 #%s の見積提案メールは顧客に送信されていません。"
"Qquote request email was't sent to admin for quote #%s","見積依頼 #%s の見積依頼メールは管理者に送信されていません。"
"Qty","個数"
"Quotation #%s - Proposal","見積依頼 #%s"
"Quotation #%s was rejected","見積 #%s は却下されました。"
"Quotation Date: %s","見積依頼日: %s"
"Quotation Management","見積管理"
"Quotations","見積"
"Quote","見積"
"Quote #","見積 #"
"Quote # %s | Quote Date %s","見積依頼 # %s | 見積依頼日 %s"
"Quote Proposal","見積提案"
"Quote Request in Process, wait for price proposal Shop owner","見積依頼は処理中です、運営者からの価格提案をお待ちください。"
"Quote Status","見積依頼ステータス"
"Quote Totals","見積合計"
"Quote item is not found.","見積商品が見つかりません。"
"Quote list was updated successfully.","見積リストを更新しました"
"Quote profit","見積利益"
"Quote request","見積依頼"
"Quote subtotal (%s)","お見積小計 (%s)"
"Quote view","見積表示"
"Quote was successfully canceled","見積要求をキャンセルしました"
"Quote was successfully saved","見積を保存しました"
"RFQ From","見積依頼作成元"
"Recalculate","再計算"
"Reject Proposal","提案拒否"
"Remarks","コメント"
"Remark with Proposal","提案にコメントする"
"Reminder Date","リマインド日"
"Remove","削除"
"Remove item","削除"
"Request a shipping quote","配送料金を見積る"
"Requested information","商品にコメント"
"Request for Quote","見積依頼"
"Request information","商品にコメント"
"Request quote","見積依頼送信"
"Resubmit Quote","見積再送信"
"SKU","SKU"
"STATUS_AUTO_PROPOSAL","提案送信"
"STATUS_BEGIN","開始"
"STATUS_CANCELED","提案キャンセル"
"STATUS_CONFIRMED","提案確認"
"STATUS_DENIED","提案拒否"
"STATUS_ORDERED","注文済"
"STATUS_PROPOSAL","提案送信"
"STATUS_PROPOSAL_BEGIN","提案作成済, 未送信"
"STATUS_PROPOSAL_EXPIRED","提案失効"
"STATUS_PROPOSAL_SAVED","提案保留"
"STATUS_REQUEST","処理中"
"STATUS_REQUEST_EXPIRED","期限切れ"
"SUBSTATUS_CANCELLED_SUB100","- 在庫切れ"
"SUBSTATUS_PROPOSAL_SUB100","- 販売担当者による見積作成"
"SUBSTATUS_PROPOSAL_SUB200","- 販売担当者による顧客連絡"
"SUBSTATUS_PROPOSAL_SUB300","- 支払い待ち"
"SUBSTATUS_REJECTED_SUB100","- 新規見積を顧客に送信"
"SUBSTATUS_SAVED_SUB100","- 見積保留"
"SUBSTATUS_SAVED_SUB200","- 仕入先待ち"
"Save Quote","見積保存"
"Select Qty","個数を選択"
"Select in Checkout","ご購入ページで確認"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","商品の個数を１個指定してください。 (この商品を編集する際に、この画面上で個数の指定は変更ができます。)"
"Set Follow Up date","フォローアップ日を設定"
"Shipping & Handling price per Item","商品ごとの配送料金"
"Shipping & Handling price varies.","配送料金の修正"
"Shipping Address","配送先住所"
"Shipping Address is same as Billing Address","配送先住所はご連絡先住所と同じ"
"Shipping Information","配送情報"
"Shipping Method","配送方法"
"Shipping details","配送先住所"
"Sku","SKU"
"State/Province","都道府県"
"Status","ステータス"
"Submit Quote","提案送信"
"Subtotal","小計"
"Subtotal Original (%s)","オリジナル小計 (%s)"
"Tax","税"
"Telephone","電話番号"
"Thank you for your interest!","ご興味を持っていただき、ありがとうございます！"
"The Cart2Quote template files are disabled.","Cart2Quoteテンプレートファイルは無効です。"
"The following item will not be added to the quotation list if you continue:","続ける場合は、以下の商品は見積リストに追加されません:"
"This item will be removed from the list if you continue:","続ける場合は以下の商品がリストから削除されます:"
"This order list contains items that cannot quoted.","見積もりできない商品が含まれています。"
"This quote list contains items that cannot ordered.","見積リストの中にご注文いただけない商品が含まれています。"
"Tier/Qty","個数"
"Title","タイトル"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","見積依頼に商品を追加する場合は、 見積確認モードから<a href='%s'>ログアウト</a>してください。"
"Unable to find item to save","保存する商品が見つかりません"
"Unit price","単価"
"Update Quote","見積一覧を更新"
"Url","URL"
"Use Store Settings","ストア設定を使用"
"View","表示"
"View Quote","見積表示"
"Visit customer dashboard for more options","マイページで詳細を確認する"
"You're welcome to place a new Request for Quote","お見積依頼ありがとうございます。"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","見積確認モードで表示中です。 <a href='%s'>ログアウト</a>"
"You have placed no quotes.","まだ見積依頼はありません。"
"You log out successfully from Quote confirmation mode.","見積確認モードからログアウトしました。"
"Your quote request # is: %s.","お見積り番号は %s です。"
"Your quote request has been received","お見積依頼を受け付けました"
"You will receive a quote confirmation email with a link to track progress.","お見積りの進捗状況を確認できるメールをお送りしました。"
"Zip/Postal Code","郵便番号"
"in process...","処理中..."
"Product cannot be added to quote list","商品を見積リストに追加できません"
