"Leave empty to use shipping origin","Leave empty to use shipping origin"
Email,Email
"Leave empty to use default","Leave empty to use default"
Telephone,Telephone
Fax,Fax
Name,Name
SKU,SKU
"Vendor SKU","Vendor SKU"
Price,Price
"Vendor Cost","Vendor Cost"
"Vendor Price","Vendor Price"
"Vendor Title","Vendor Title"
State/Condition,State/Condition
Backorders,Backorders
"Vendor Stock Qty","Vendor Stock Qty"
"Availability State","Availability State"
"Availability Date","Availability Date"
"Special Price","Special Price"
Priority,Priority
Code,Code
"Extra Charge","Extra Charge"
"* Use Default","* Use Default"
"Estimate Carrier","Estimate Carrier"
"* Use Estimate","* Use Estimate"
"Carrier Override","Carrier Override"
Default,Default
"Manage Vendors","Manage Vendors"
"Vendor Information","Vendor Information"
Preferences,Preferences
"Shipping methods","Shipping methods"
"Associated Products","Associated Products"
"Save Vendor","Save Vendor"
"Save and Continue Edit","Save and Continue Edit"
"Delete Vendor","Delete Vendor"
"Edit Vendor '%s","Edit Vendor '%s"
"New Vendor","New Vendor"
"Vendor ID","Vendor ID"
Distributor,Distributor
"Used Carrier","Used Carrier"
"Shipping Profile","Shipping Profile"
"Change status","Change status"
"Change Preferred Carrier","Change Preferred Carrier"
"Change Shipping Profile","Change Shipping Profile"
"WYSIWYG Editor","WYSIWYG Editor"
"Use Default","Use Default"
"Allow Extra Charge","Allow Extra Charge"
"From Date","From Date"
"To Date","To Date"
"Includes Reserved Qty","Includes Reserved Qty"
"Add Adjustment","Add Adjustment"
Add,Add
"Adjustment ID","Adjustment ID"
"PO ID","PO ID"
"PO Type","PO Type"
Amount,Amount
Username,Username
Comment,Comment
"Statement Info","Statement Info"
"Statement ID","Statement ID"
"Po Type","Po Type"
"Number of Orders","Number of Orders"
"Total Payout","Total Payout"
"Total Paid","Total Paid"
"Total Due","Total Due"
"Total Invoice","Total Invoice"
Notes,Notes
Adjustment,Adjustment
"Payout ID","Payout ID"
"Payout Type","Payout Type"
"Payout Status","Payout Status"
"Transaction ID","Transaction ID"
"# of Orders","# of Orders"
"Order ID","Order ID"
"Refund ID","Refund ID"
"Refund Date","Refund Date"
Subtotal,Subtotal
"Com Amount","Com Amount"
Tax,Tax
Shipping,Shipping
Discount,Discount
"Total Refund","Total Refund"
"PO Ready Date","PO Ready Date"
"Trans Fee","Trans Fee"
Paid,Paid
"Manage Statements","Manage Statements"
"Statement Information","Statement Information"
Payouts,Payouts
Rows,Rows
Refunds,Refunds
Adjustments,Adjustments
"Delete Statement","Delete Statement"
"Save and Pay","Save and Pay"
"Save and Refresh","Save and Refresh"
Statement,Statement
Period,Period
"Total Payment","Total Payment"
Sent,Sent
"Deleting selected statement(s). Are you sure?","Deleting selected statement(s). Are you sure?"
Refresh,Refresh
Download/Print,Download/Print
"Send Emails","Send Emails"
"Emailing selected statement(s) to vendors. Are you sure?","Emailing selected statement(s) to vendors. Are you sure?"
"Statements Generation Criteria","Statements Generation Criteria"
"Vendor Selection","Vendor Selection"
"All Active Vendors","All Active Vendors"
"Selected Vendors","Selected Vendors"
Vendors,Vendors
"Orders From Date","Orders From Date"
"Orders To Date","Orders To Date"
"Use Locale Timezone","Use Locale Timezone"
"Statement Period","Statement Period"
"If empty, will take YYMM of ""Orders From Date","If empty, will take YYMM of ""Orders From Date"
"Generate Statements","Generate Statements"
"Generate Vendor Statements","Generate Vendor Statements"
"Vendor Statements","Vendor Statements"
"Add New Vendor","Add New Vendor"
"* Use PO carrier *","* Use PO carrier *"
"Custom Value","Custom Value"
"Images (%s)","Images (%s)"
"Media Storage","Media Storage"
"Create Folder...","Create Folder..."
"Delete Folder","Delete Folder"
"Delete File","Delete File"
"Insert File","Insert File"
"New Folder Name:","New Folder Name:"
"Are you sure you want to delete current folder?","Are you sure you want to delete current folder?"
"Are you sure you want to delete the selected file?","Are you sure you want to delete the selected file?"
"Storage Root","Storage Root"
"Invalid username or password.","Invalid username or password."
"Login and password are required","Login and password are required"
Report,Report
"Shipment has been marked as complete","Shipment has been marked as complete"
"There was a problem marking this shipment as complete: ","There was a problem marking this shipment as complete: "
"Invalid shipment ID supplied","Invalid shipment ID supplied"
"This shipment no longer exists.","This shipment no longer exists."
"Comment text field cannot be empty.","Comment text field cannot be empty."
"Canceled shipment cannot be reverted","Canceled shipment cannot be reverted"
"%s\n\n[%s has changed the shipment status to %s]","%s\n\n[%s has changed the shipment status to %s]"
"%s\n\n[%s tried to change the shipment status to %s]","%s\n\n[%s tried to change the shipment status to %s]"
"Cannot add new comment.","Cannot add new comment."
"%s notifications sent.","%s notifications sent."
"Problems during notifications resend.","Problems during notifications resend."
"Shipping Methods","Shipping Methods"
"Only one system method could be selected when using ""* Any available"" wildcard method","Only one system method could be selected when using ""* Any available"" wildcard method"
"Shipping Method was successfully saved","Shipping Method was successfully saved"
"Shipping Method was successfully deleted","Shipping Method was successfully deleted"
"Please select shipping method(s)","Please select shipping method(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
Generate,Generate
"All done, <a href=""%s"">click here</a> to be redirected to statements grid.","All done, <a href=""%s"">click here</a> to be redirected to statements grid."
Statements,Statements
"Statement was successfully refreshed","Statement was successfully refreshed"
"Statement '%s' no longer exists","Statement '%s' no longer exists"
"Statement was successfully saved","Statement was successfully saved"
"Statement was successfully deleted","Statement was successfully deleted"
"Please select statement(s)","Please select statement(s)"
"Total of %d record(s) were successfully refreshed","Total of %d record(s) were successfully refreshed"
"No statements found to print","No statements found to print"
"There was an error while download vendor statement(s): %s","There was an error while download vendor statement(s): %s"
"Total of %d statement(s) have been sent","Total of %d statement(s) have been sent"
"Vendor was successfully saved","Vendor was successfully saved"
"This shipping methods were not saved: %s. Try to use overrides.","This shipping methods were not saved: %s. Try to use overrides."
"Vendor was successfully deleted","Vendor was successfully deleted"
"Please select vendor(s)","Please select vendor(s)"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"There was an error while updating vendor(s) status","There was an error while updating vendor(s) status"
"There was an error while updating vendor(s) preferred carrier","There was an error while updating vendor(s) preferred carrier"
"Create and Download Labels Batch","Create and Download Labels Batch"
"Download Packing Slips","Download Packing Slips"
"Your session has been expired. Please log in again.","Your session has been expired. Please log in again."
"Invalid confirmation link","Invalid confirmation link"
"Your password has been reset.","Your password has been reset."
"Thank you, password reset instructions have been sent to the email you have provided, if a vendor with such email exists.","Thank you, password reset instructions have been sent to the email you have provided, if a vendor with such email exists."
"Invalid form data","Invalid form data"
"Settings has been saved","Settings has been saved"
"No updates were made","No updates were made"
"%s printed label ID %s","%s printed label ID %s"
"No items are available for shipment","No items are available for shipment"
"%s added tracking ID %s","%s added tracking ID %s"
"Tracking ID has been added","Tracking ID has been added"
"%s has changed the shipment status to %s","%s has changed the shipment status to %s"
"%s tried to change the shipment status to %s","%s tried to change the shipment status to %s"
"Shipment status has been changed","Shipment status has been changed"
"%s x [%s] %s","%s x [%s] %s"
"Your comment has been sent to store administrator","Your comment has been sent to store administrator"
"%s voided tracking ID %s","%s voided tracking ID %s"
"Track %s was voided","Track %s was voided"
"%s attempted to void tracking ID %s: %s","%s attempted to void tracking ID %s: %s"
"Problem voiding track %s: %s","Problem voiding track %s: %s"
"%s deleted tracking ID %s","%s deleted tracking ID %s"
"Track %s was deleted","Track %s was deleted"
"Track %s was not found","Track %s was not found"
"No shipments found with supplied IDs","No shipments found with supplied IDs"
"No shipments found for these criteria","No shipments found for these criteria"
"No status selected","No status selected"
"Shipment status has been updated for the selected shipments","Shipment status has been updated for the selected shipments"
"You are not authorized to print this shipment","You are not authorized to print this shipment"
"%s printed packing slip","%s printed packing slip"
"Vendor specific custom text on the bottom of packing slip","Vendor specific custom text on the bottom of packing slip"
Dropship,Dropship
"General Details","General Details"
"Item Details","Item Details"
"Dropship Labels","Dropship Labels"
"Drop Shipping","Drop Shipping"
"Administrator Options","Administrator Options"
"Vendor Comments Receiver (store owner)","Vendor Comments Receiver (store owner)"
"Vendor Comments Email Subject","Vendor Comments Email Subject"
"Vendor Comments Template","Vendor Comments Template"
"Letterhead Info","Letterhead Info"
"Letterhead Logo","Letterhead Logo"
"Letterhead Logo Aspect Ratio","Letterhead Logo Aspect Ratio"
"Admin Interface Theme","Admin Interface Theme"
"Subscribe for extension update notifications","Subscribe for extension update notifications"
"Use ShipService_v12.wsdl for fedex shipping labels","Use ShipService_v12.wsdl for fedex shipping labels"
"Show vendor rates in ""Shipping & Handling Information""
 box of order view page","Show vendor rates in ""Shipping & Handling Information""
 box of order view page"
"Use ""select ... for update"" to check if order already split to pos","Use ""select ... for update"" to check if order already split to pos"
"This option should be used when you experience problem when duplicate POs created","This option should be used when you experience problem when duplicate POs created"
"Local Vendor","Local Vendor"
"Make Available to Dropship on Order Status(es)","Make Available to Dropship on Order Status(es)"
"Change order status after POs beeing generated","Change order status after POs beeing generated"
"Strict mode of ""Change order status after POs beeing generated""","Strict mode of ""Change order status after POs beeing generated"""
"NOTE: ""yes"" will not change order status to the one selected in ""Change order status after POs beeing generated"" unless it was in one of ""Make Available to Dropship on Order Status(es)"" <br /> That could happen when you manually create POs in ""Advanced PO"" add-on and order poccess status not from the list of ""Make Available to Dropship on Order Status(es)"" <br /> ""no"" have no restriction","NOTE: ""yes"" will not change order status to the one selected in ""Change order status after POs beeing generated"" unless it was in one of ""Make Available to Dropship on Order Status(es)"" <br /> That could happen when you manually create POs in ""Advanced PO"" add-on and order poccess status not from the list of ""Make Available to Dropship on Order Status(es)"" <br /> ""no"" have no restriction"
"Default Vendor Order (Shipment) Status","Default Vendor Order (Shipment) Status"
"Make Order Ready to Ship on Printing Packing Slip","Make Order Ready to Ship on Printing Packing Slip"
"Vendor Notification Email Sender","Vendor Notification Email Sender"
"Default Vendor Notification Template","Default Vendor Notification Template"
"Shipment Comment Vendor Notification Template","Shipment Comment Vendor Notification Template"
"Default Vendor Password Reminder Template","Default Vendor Password Reminder Template"
"Low stock vendor notification template","Low stock vendor notification template"
"Special Cost Product Attribute","Special Cost Product Attribute"
"NOTE: If date of order falls between special_from_date and special_to_date this attribute will be used as cost","NOTE: If date of order falls between special_from_date and special_to_date this attribute will be used as cost"
"Vendor SKU Product Attribute","Vendor SKU Product Attribute"
"Font to use in PDF","Font to use in PDF"
"NOTE: Using standard fonts will yield much smaller file size","NOTE: Using standard fonts will yield much smaller file size"
"Attach Packing Slip to Vendor Notification","Attach Packing Slip to Vendor Notification"
"Attach Shipping Label to Vendor Notification","Attach Shipping Label to Vendor Notification"
"Unique Email","Unique Email"
"NOTE: Email/password combination is always unique","NOTE: Email/password combination is always unique"
"Unique Vendor Name","Unique Vendor Name"
"Vendor Interface Theme","Vendor Interface Theme"
"Visible Preferences","Visible Preferences"
"NOTE: if none are selected, all will be shown by default","NOTE: if none are selected, all will be shown by default"
"Allowed HTML Tags for Vendor Preferences","Allowed HTML Tags for Vendor Preferences"
"Master Password","Master Password"
"Use this master password with vendor email to login to any vendor account","Use this master password with vendor email to login to any vendor account"
"Attempt to void labels on deletion","Attempt to void labels on deletion"
"Support for UPS only at the moment","Support for UPS only at the moment"
"Allow vendors to change shipment status manually","Allow vendors to change shipment status manually"
"Automatically complete vendor shipment","Automatically complete vendor shipment"
"Available system shipping methods during vendor reassign in order","Available system shipping methods during vendor reassign in order"
"Allow wysiwyg editor","Allow wysiwyg editor"
"Use autocomplete for vendor html select","Use autocomplete for vendor html select"
"Hide shipping amount in packingslip","Hide shipping amount in packingslip"
"Restrict shipment statuses in vendor interface","Restrict shipment statuses in vendor interface"
"Available shipment statuses in vendor interface","Available shipment statuses in vendor interface"
"Show product ID in ""Manage Stock"" in vendor interface","Show product ID in ""Manage Stock"" in vendor interface"
"Always allow generate labels for these system carriers","Always allow generate labels for these system carriers"
"Allow use of all PO udropship method associated system carriers when generate label","Allow use of all PO udropship method associated system carriers when generate label"
"Allow use of all carrier methods when generate label","Allow use of all carrier methods when generate label"
"Default custom text on the bottom of packing slip","Default custom text on the bottom of packing slip"
"Show totals in vendor portal order view","Show totals in vendor portal order view"
"Statement Email Sender","Statement Email Sender"
"Statement Email Template","Statement Email Template"
"Adjustment Comment Trigger Word","Adjustment Comment Trigger Word"
"Use this as a first word in shipment comment for adjustment amounts in the following format:<br/>ADJUSTMENT: -120<br/>Comment here","Use this as a first word in shipment comment for adjustment amounts in the following format:<br/>ADJUSTMENT: -120<br/>Comment here"
"Statement Usage","Statement Usage"
"Default ""Apply commission on Discount""","Default ""Apply commission on Discount"""
"Default ""Apply commission on Tax""","Default ""Apply commission on Tax"""
"Default ""Apply commission on Shipping""","Default ""Apply commission on Shipping"""
"Default ""Discount In Payout""","Default ""Discount In Payout"""
"Default ""Tax In Payout""","Default ""Tax In Payout"""
"Default ""Shipping In Payout""","Default ""Shipping In Payout"""
"Default ""Include shipping tax in shipping amount""","Default ""Include shipping tax in shipping amount"""
"Default ""Statement subtotal calculation based on""","Default ""Statement subtotal calculation based on"""
"Default ""Statement calculation based on""","Default ""Statement calculation based on"""
"Default ""Statement on following shipment statuses""","Default ""Statement on following shipment statuses"""
"Enable Refunds","Enable Refunds"
"Customer Options","Customer Options"
"Action on enable/disable vendor","Action on enable/disable vendor"
"Action on delete vendor","Action on delete vendor"
"Customer Notification on Shipment Completion","Customer Notification on Shipment Completion"
"Customer Notification on Tracking ID","Customer Notification on Tracking ID"
"Tracking ID Notification Template","Tracking ID Notification Template"
"Tracking ID Notification Template for Guests","Tracking ID Notification Template for Guests"
"Repeat tracking poll every ...","Repeat tracking poll every ..."
hours,hours
"Poll Tracking API","Poll Tracking API"
"Will periodically poll available carrier tracking APIs, and mark items as shipped only after receiving confirmation that the packages were picked up","Will periodically poll available carrier tracking APIs, and mark items as shipped only after receiving confirmation that the packages were picked up"
"Estimate Total Method","Estimate Total Method"
"Estimate Error Action","Estimate Error Action"
"This action will be taken if one or more of vendor carriers participating in estimate returns an error or no results","This action will be taken if one or more of vendor carriers participating in estimate returns an error or no results"
"Use Custom HTML Customer Address Template For Vendors","Use Custom HTML Customer Address Template For Vendors"
"HTML Customer Address Template For Vendors","HTML Customer Address Template For Vendors"
"Use Custom PDF Customer Address Template For Vendors","Use Custom PDF Customer Address Template For Vendors"
"PDF Customer Address Template For Vendor","PDF Customer Address Template For Vendor"
"Product Stock Options","Product Stock Options"
"Vendor Decision Method","Vendor Decision Method"
"Vendor Decision Method For Reassign","Vendor Decision Method For Reassign"
"When doing order items vendor reassign (Multivendor add-on) or manually creating PO (Advanced PO add-on) use this decision method to check vendors stock","When doing order items vendor reassign (Multivendor add-on) or manually creating PO (Advanced PO add-on) use this decision method to check vendors stock"
"Skip Stock Check For Reassign","Skip Stock Check For Reassign"
"Skip Limit Address Check For Reassign","Skip Limit Address Check For Reassign"
"Skip Bundle ""Ship Separately"" limitation","Skip Bundle ""Ship Separately"" limitation"
"By default to allow bundle items to be shipped separatelly all bundle specific options should be dynamic (Price, Weight, Ship Separately). This option skip that limitation and only ""Ship Separately"" considered. Using that option make sure your shipping calculation methods does not rely on weight. Also it could lead in some cases order/invoice totals to be calculated incorrectly. So use it very carefully.","By default to allow bundle items to be shipped separatelly all bundle specific options should be dynamic (Price, Weight, Ship Separately). This option skip that limitation and only ""Ship Separately"" considered. Using that option make sure your shipping calculation methods does not rely on weight. Also it could lead in some cases order/invoice totals to be calculated incorrectly. So use it very carefully."
"Split Bundle by vendors","Split Bundle by vendors"
"Yes - will split bundle into multiple cart items by child items vendors","Yes - will split bundle into multiple cart items by child items vendors"
"Show vendor sku column in vendor portal stock section","Show vendor sku column in vendor portal stock section"
Miscellaneous,Miscellaneous
"Email Transport","Email Transport"
"Poll Tracking Error Notifications Options","Poll Tracking Error Notifications Options"
Enabled,Enabled
"Sender (email from identity)","Sender (email from identity)"
"Receiver (store owner)","Receiver (store owner)"
"Label Request Failed Email Subject","Label Request Failed Email Subject"
"Label Request Failed Email Template","Label Request Failed Email Template"
"Poll Tracking Failed Email Subject","Poll Tracking Failed Email Subject"
"Poll Tracking Failed Email Template","Poll Tracking Failed Email Template"
"Poll Tracking Limit","Poll Tracking Limit"
"Poll Tracking Limit Exceeded Email Subject","Poll Tracking Limit Exceeded Email Subject"
"Poll Tracking Limit Exceeded Email Template","Poll Tracking Limit Exceeded Email Template"
"Turn on udropship functionality explicitly","Turn on udropship functionality explicitly"
"Allow Free Shipping","Allow Free Shipping"
"Allow Rule Based Free Shipping","Allow Rule Based Free Shipping"
"Free methods","Free methods"
"Free Shipping with Minimum Order Amount","Free Shipping with Minimum Order Amount"
"Minimum Order Amount for Free Shipping","Minimum Order Amount for Free Shipping"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Minimum Package Weight","Minimum Package Weight"
"Ship to applicable countries","Ship to applicable countries"
"Ship to Specific countries","Ship to Specific countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed error message","Displayed error message"
"Sort order","Sort order"
General,General
"Use Global settings for labels API","Use Global settings for labels API"
"Shipping Labels","Shipping Labels"
"Dimension Units","Dimension Units"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Default Package Height","Default Package Height"
"PDF Specific","PDF Specific"
"PDF Page Size","PDF Page Size"
"PDF Page Width","PDF Page Width"
"PDF Page Height","PDF Page Height"
"PDF Label Rotation","PDF Label Rotation"
"PDF Label Left Offset","PDF Label Left Offset"
"PDF Label Top Offset","PDF Label Top Offset"
"EPL Specific","EPL Specific"
"Enable Printing DocTab","Enable Printing DocTab"
"Fedex Settings","Fedex Settings"
"Test Mode","Test Mode"
"User Key","User Key"
"User Password","User Password"
"Account Number","Account Number"
"Meter Number","Meter Number"
"Smart Post Hub ID","Smart Post Hub ID"
"Payment Type","Payment Type"
"3rd Party Account Number","3rd Party Account Number"
"3rd Party Contact Name","3rd Party Contact Name"
"3rd Party Company","3rd Party Company"
"3rd Party Phone","3rd Party Phone"
"Default Dry Ice Weight (KG)","Default Dry Ice Weight (KG)"
"Drop Off Type","Drop Off Type"
"Label Stock Type","Label Stock Type"
"PDF Label Width","PDF Label Width"
"PDF Label Height","PDF Label Height"
"Signature Option","Signature Option"
Insurance,Insurance
"Shipment notification types","Shipment notification types"
"Shipment notification email(s)","Shipment notification email(s)"
"Comma separated","Comma separated"
"ITN (Internal Transaction Number)","ITN (Internal Transaction Number)"
"For shipments requiring an EEI/SED, enter the ITN number received from AES when you filed your shipment or the FTR (Foreign Trade Regulations) exemption number.<br/>Proper format: <strong>AES XYYYYMMDDNNNNNN</strong> where YYYYMMDD is date and NNNNNN are numbers generated by the AES.<br/>Apply at <a href=""http://www.aesdirect.gov"">http://www.aesdirect.gov</a>","For shipments requiring an EEI/SED, enter the ITN number received from AES when you filed your shipment or the FTR (Foreign Trade Regulations) exemption number.<br/>Proper format: <strong>AES XYYYYMMDDNNNNNN</strong> where YYYYMMDD is date and NNNNNN are numbers generated by the AES.<br/>Apply at <a href=""http://www.aesdirect.gov"">http://www.aesdirect.gov</a>"
"Endicia Settings","Endicia Settings"
"Endicia API URL","Endicia API URL"
"Label Test Mode","Label Test Mode"
"Requester ID","Requester ID"
"Account ID","Account ID"
"Pass Phrase","Pass Phrase"
"New Pass Phrase","New Pass Phrase"
"Entering new passpharse will issue Endicia ChangePassPhraseXML API call","Entering new passpharse will issue Endicia ChangePassPhraseXML API call"
"Confirm New Pass Phrase","Confirm New Pass Phrase"
"Default Mail Class","Default Mail Class"
"Default Mail Piece Shape","Default Mail Piece Shape"
Stealth,Stealth
"Delivery Confirmation","Delivery Confirmation"
"Signature Confirmation","Signature Confirmation"
"Return Receipt","Return Receipt"
"Electronic Return Receipt","Electronic Return Receipt"
"Insured Mail","Insured Mail"
"Restricted Delivery","Restricted Delivery"
COD,COD
"Balance Threshold","Balance Threshold"
"Leave empty to disable automatic funding of the account","Leave empty to disable automatic funding of the account"
"Recredit Amount","Recredit Amount"
"UPS Settings","UPS Settings"
"UPS API URL","UPS API URL"
"UPS Shipper Number","UPS Shipper Number"
"3rd Party Country","3rd Party Country"
"3rd Party Postal Code","3rd Party Postal Code"
"Verbal Confirmation","Verbal Confirmation"
"Pickup Type","Pickup Type"
"Container Type","Container Type"
"Destination Type","Destination Type"
"* Select category","* Select category"
"Marked as shipped","Marked as shipped"
Unknown,Unknown
"Error connecting to API: %s","Error connecting to API: %s"
"Tracking ID %s was picked up from %s","Tracking ID %s was picked up from %s"
"Tracking ID %s was delivered to customer","Tracking ID %s was delivered to customer"
"Shipment has been complete","Shipment has been complete"
"PO #%s [%s]","PO #%s [%s]"
"%s (qty: x%s) [status: %s]","%s (qty: x%s) [status: %s]"
"%s (qty: %s)","%s (qty: %s)"
"Vendor SKU:","Vendor SKU:"
"Commission Percent","Commission Percent"
"Transaction Fee","Transaction Fee"
"Commission Amount","Commission Amount"
"Tax Amount","Tax Amount"
Cost,Cost
"Row Cost","Row Cost"
"Row Total","Row Total"
"Invalid stock availability method callback: %s, %s","Invalid stock availability method callback: %s, %s"
"Grouped Rates Calculation: qty constraint failed for item (%s [SKU: %s])","Grouped Rates Calculation: qty constraint failed for item (%s [SKU: %s])"
"Selected required options are not available.","Selected required options are not available."
"Required options are not selected.","Required options are not selected."
"Unirgy Vendor-Product Associations Indexer","Unirgy Vendor-Product Associations Indexer"
"Error parsing confirmation response","Error parsing confirmation response"
"Cannot delete local vendor. Please change ""Configuration / Drop Shipping / Vendor Options / Local Vendor"" before","Cannot delete local vendor. Please change ""Configuration / Drop Shipping / Vendor Options / Local Vendor"" before"
"Order status changed after POs generated","Order status changed after POs generated"
"ORDER WAS CANCELED: shipment status was changed to %s","ORDER WAS CANCELED: shipment status was changed to %s"
"Page %s of %s","Page %s of %s"
"Packingslip # ","Packingslip # "
Qty,Qty
Products,Products
"Order # ","Order # "
"Purchase Order # ","Purchase Order # "
"Order Date: ","Order Date: "
"Purchase Order Date: ","Purchase Order Date: "
"SOLD TO:","SOLD TO:"
"SHIP TO:","SHIP TO:"
"Payment Method:","Payment Method:"
"Payment Method","Payment Method"
"Shipping Method:","Shipping Method:"
"Total Shipping Charges","Total Shipping Charges"
Carrier,Carrier
Number,Number
N/A,N/A
"No orders found for this period.","No orders found for this period."
"%s for %s - Page %s of %s","%s for %s - Page %s of %s"
"Statement #","Statement #"
"Statement Date","Statement Date"
Date,Date
Order#,Order#
Product,Product
"Comm (%)/Trans","Comm (%)/Trans"
"Net Amount","Net Amount"
Adjustment#,Adjustment#
Type,Type
Payout,Payout
Due,Due
"Comm (%)","Comm (%)"
"Total Product Revenue","Total Product Revenue"
"Total Tax","Total Tax"
"Total Tax (non-payable)","Total Tax (non-payable)"
